,Accuracy,Sensitivity,Specificity,Precision,Recall,F-measure,AUC-ROC,Kappa
vgg16,0.8173,0.9949,0.5214,0.776,0.9949,0.8719,0.9492,0.5698
vgg19,0.7997,0.9974,0.4701,0.7583,0.9974,0.8616,0.9486,0.5224
resnet50,0.8429,0.9923,0.594,0.8029,0.9923,0.8876,0.9556,0.6364
efficientnet_b0,0.8189,0.9923,0.5299,0.7787,0.9923,0.8726,0.9537,0.5748
