,Accuracy,Sensitivity,Specificity,Precision,Recall,F-measure,AUC-ROC,Kappa
Handcrafted Only,0.7949,0.9949,0.4615,0.7549,0.9949,0.8584,0.9464,0.5105
CNN Only (resnet50),0.8734,0.9897,0.6795,0.8373,0.9897,0.9072,0.9498,0.7125
Fused (CNN + HC),0.8429,0.9923,0.594,0.8029,0.9923,0.8876,0.9556,0.6364
